"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3299","suffering wback acne try thiscups epsom saltrunning warm bath watersoaking for mbye bye acne",FALSE,0,NA,2017-11-07 07:34:08,FALSE,NA,"927801327928844288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theuglyunicornx",118,TRUE,FALSE,NA,NA
"3300",NA,FALSE,0,NA,2017-11-07 07:33:54,FALSE,NA,"927801265404432384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TOT345",1,TRUE,FALSE,NA,NA
"3301","will shaving my legs for a second date later this week when the last several times ive shaved have given me horrific leg acne be my hubris",FALSE,3,NA,2017-11-07 07:33:51,FALSE,NA,"927801256088866816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vanessaondaipad",0,FALSE,FALSE,NA,NA
"3302","im tired of all this acne can i just rip my face off",FALSE,0,NA,2017-11-07 07:33:39,FALSE,NA,"927801205065007104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","andrezzyy",10,TRUE,FALSE,NA,NA
"3303","right vs wronghyperpigmentation dark spots acne scarsshruti arjun anand",FALSE,0,NA,2017-11-07 07:32:57,FALSE,NA,"927801027000197120",NA,"<a href=""http://www.thiraialayam.com"" rel=""nofollow"">thiraialayamApp</a>","TamilAlayam",0,FALSE,FALSE,NA,NA
"3304","cystic acne have you tried mario badescu rose water get away from me before i call the police",FALSE,0,NA,2017-11-07 07:32:42,FALSE,NA,"927800966832783360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tamzzlol",4263,TRUE,FALSE,NA,NA
"3305","suffering wback acne try thiscups epsom saltrunning warm bath watersoaking for mbye bye acne",FALSE,0,NA,2017-11-07 07:30:22,FALSE,NA,"927800379944738817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","afGINAstan",118,TRUE,FALSE,NA,NA
"3306","hydrogen peroxide is the actual cure for acne it hurts like a bitch but man its worth it",FALSE,1,NA,2017-11-07 07:30:21,FALSE,NA,"927800374223712257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","liaholmm",0,FALSE,FALSE,NA,NA
"3307","win the positively clear acne blue light fromwinningmoments triabeauty",FALSE,3,NA,2017-11-07 07:30:00,TRUE,NA,"927800286600601600",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","winningmomentuk",12,FALSE,FALSE,NA,NA
"3308","cystic acne have you tried mario badescu rose water get away from me before i call the police",FALSE,0,NA,2017-11-07 07:29:55,FALSE,NA,"927800265096486912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yalocalgayboii",4263,TRUE,FALSE,NA,NA
"3309","contrary to popular beliefs chocolate does not cause acne",FALSE,2,NA,2017-11-07 07:29:35,FALSE,NA,"927800179566305280",NA,"<a href=""https://www.example.com"" rel=""nofollow"">un_known</a>","AlexahFacts",0,FALSE,FALSE,NA,NA
"3310","getting acne and getting fat where is my life taking me",FALSE,0,NA,2017-11-07 07:29:33,FALSE,NA,"927800171278340096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","minnnie69",3,TRUE,FALSE,NA,NA
"3311","cystic acne have you tried mario badescu rose water get away from me before i call the police",FALSE,0,NA,2017-11-07 07:29:24,FALSE,NA,"927800132921311232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xalekax",4263,TRUE,FALSE,NA,NA
"3312","drinking greentea every day can help reduce stress and keep the acne away rtif you love green tea",FALSE,0,NA,2017-11-07 07:28:23,FALSE,NA,"927799879723651072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nrsyafiqka",904,TRUE,FALSE,NA,NA
"3313","new video extraction of cystic acne pimples and blackheads on face acne treatmenthas been published on",FALSE,0,NA,2017-11-07 07:28:05,TRUE,NA,"927799801621745664",NA,"<a href=""http://www.bigpimples.com"" rel=""nofollow"">Big Pimples</a>","BigPimples_com",0,FALSE,FALSE,NA,NA
"3314","if youve never had to struggle with acne i genuinely hate you",FALSE,9,NA,2017-11-07 07:28:01,FALSE,NA,"927799786782289920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","freetobebrooke",0,FALSE,FALSE,NA,NA
"3315","cystic acne have you tried mario badescu rose water get away from me before i call the police",FALSE,0,NA,2017-11-07 07:27:44,FALSE,NA,"927799713348423680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jumprightovers",4263,TRUE,FALSE,NA,NA
"3316","i liked avideoskincare life hacks how to clear your acne",FALSE,1,NA,2017-11-07 07:27:43,FALSE,NA,"927799712471748609",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","LoveBirdCentral",0,FALSE,FALSE,NA,NA
"3317","retro sneaker roller skatesacne studios just released roller skates as part of its diner line",FALSE,0,NA,2017-11-07 07:27:06,TRUE,NA,"927799557173387264",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Maximum_Media1",0,FALSE,FALSE,NA,NA
